id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
1,0.5584436228630647,udp,ftp-data,INT,19,18,4061,6015,15241.382959051758,254,0,684918.5820893364,960890.5379073323,2,4,13.138999496568228,7.389309156718036,78.74737424786959,17.515616650419553,255,513941549,3323375690,0,0.10635563566980946,0.06296604955331973,0.04323450416870997,103,1218,0,481,31,2,14,8,4,4,0,0,0,27,24,0,Normal,0
2,0.7964905291553204,tcp,dns,FIN,20,14,4171,6035,36733.12634140054,254,60,597244.3508620537,2401608.8316555205,2,3,13.886453223922832,2.8937673517536093,41.02865041432515,60.55561016256212,255,2338544196,3347548909,0,0.09184847154941789,0.08292873525052925,0.03349421650689837,1137,364,0,461,12,1,14,16,16,32,0,0,0,27,35,0,Analysis,1
3,0.14415306609661313,unas,http,FIN,14,19,4162,5954,66699.87929620242,254,60,427821.8818340176,1289178.4463901646,3,3,2.9916616515694643,10.9354919087552,22.321376297979988,38.03032748555439,255,1803996802,81835736,0,0.07148686890936455,0.08259477805123776,0.019943420545542916,869,937,0,508,8,2,19,7,10,31,0,0,1,23,33,0,Exploits,1
4,0.4902467874882831,udp,-,INT,16,14,4100,6061,34385.68105253383,31,29,1016185.5050355064,1087379.1169447324,3,2,25.339325033236847,2.731756640673648,97.22679563668807,22.18459133746952,0,2553938850,1784266482,255,0.013986933799070806,0.10388599655491854,0.017715807810995025,988,1194,0,529,35,1,6,19,18,5,0,0,1,15,18,0,Generic,1
5,0.42401938106126796,tcp,dns,FIN,19,15,4046,6117,4635.729130427298,62,60,936562.5538624797,2226714.715085273,0,5,61.88538201175868,5.606818128260954,21.341810142315268,100.66418626798699,255,2843096567,3724687100,255,0.04289520967854293,0.03837582596556442,0.01245113479501768,266,1315,1,489,39,1,26,9,1,3,0,0,0,2,31,0,Normal,0
6,0.8943731370964587,ospf,-,CON,11,12,4248,6015,67520.15019947234,254,0,420653.04450658994,672996.5369445513,1,3,8.239332130392784,0.2105569044504212,44.9220504982651,30.900279344435866,255,1826191758,3125483858,0,0.012739881409593454,0.003547608442729265,0.0016914200737515137,430,182,0,531,23,2,19,7,4,13,0,0,0,4,29,0,Normal,0
7,1.1826935506050371,tcp,-,FIN,24,19,4113,6027,12395.152161523973,31,29,420324.9482846682,4793308.783240346,2,1,3.806678374685269,14.996103248792979,14.864789190354404,51.48144325851846,255,3277149554,3805063619,255,0.08143791405449816,0.028857913164347188,0.012982863716580988,230,1193,0,486,1,1,14,9,16,13,0,0,0,8,1,0,Normal,0
8,0.006115634704485624,tcp,dns,CON,19,29,4178,5975,5140.281936724673,254,252,1035085.0599172874,1065950.2490010741,1,5,4.425606612001412,25.089520738255384,74.8969940890926,42.62322766026717,0,2602411766,372682685,255,0.12772757137780053,0.028164137912005522,0.019854300992896527,1329,172,0,488,1,1,3,12,8,22,0,0,0,25,17,0,DoS,1
9,0.560459500444768,udp,-,FIN,15,18,4166,5890,32509.935516867517,62,60,808661.7012615205,1995098.1654216798,0,3,8.733357528906257,16.064730435615242,36.13221070802337,78.220548532287,255,3097952503,3613406982,255,0.13890424694628564,0.0034020505336575207,0.01204688712367196,1084,1054,0,498,14,0,3,18,17,21,0,0,0,17,35,0,Generic,1
10,0.02661379202311137,tcp,dns,REQ,16,8,4191,5808,3876.9506076392304,62,0,1267819.7521696521,8072143.750119441,2,2,0.07810115684943204,1.5013785017674486,112.77006571947908,66.93317163719175,255,2851910479,1089227217,0,0.1263299127720278,0.03640324811592369,0.010844763040426222,1413,88,0,444,39,1,19,2,18,19,0,0,1,28,24,0,Exploits,1
11,0.3979873036849448,udp,-,REQ,12,16,4099,5977,49637.48999351744,254,252,2836890.036384162,3078706.753629582,3,5,3.686557342828532,13.956169383299425,42.07077347702647,180.50867881739327,0,749972634,3135998222,255,0.016768389244125787,0.016033490544195117,0.005387916956405022,201,1493,0,513,39,1,22,24,1,15,0,0,0,20,3,0,Normal,0
12,0.169580835284943,udp,-,FIN,16,19,4084,6011,51148.33482796299,254,60,1512272.912961207,1516964.1815539622,7,0,0.5024553968075465,3.409511558068722,8.974558919390402,19.069285195631377,255,1483892043,731044841,255,0.01177382038400425,0.0021843372272818498,0.009115043544430292,1331,92,0,510,32,2,2,1,17,16,0,0,0,7,37,0,Analysis,1
